Envior_ID,Name_Envior,Date_Envior,Headline_Envior,Description_Envior
1,weather,"Sep 17, 2018",Chicken producer Moy Park delivers record sales and profits," North’s largest firm set to deliver $50 million in savings after acquisition by Pilgrim’s Pride
            "
2,weather,"Sep 17, 2018","Britain’s economy will shrink without Brexit deal, IMF warns"," Christine Lagarde says ‘clouds on the horizon have not become lighter but darker’
            "
3,weather,"Aug 13, 2018",Sunny July gives consumer sentiment a temporary lift," Weather may have helped sentiment rise last month, but major economic worries remain
            "
4,weather,"Aug 10, 2018","The ‘Weinstein clause’, Disney hits and pizza profits"," Planet Business: Superheroes and super-villains abound
            "
5,weather,"Aug 9, 2018",House and apartment sales up 25% on last year – Davy," Some 28,022 transactions worth €8.3bn registered so far in 2018
            "
6,weather,"Jul 18, 2018",Sharp slowdown in Dublin house price rises is predicted," Savills says it expects a ‘cooling-off’ period as the supply of new homes ramps up
            "
7,weather,"Jun 15, 2018",Ireland pitches up for its share of the World Cup pie," Tournament of tournaments remains a commercial bonanza despite toxic Fifa brand
            "
8,weather,"Jun 14, 2018",Analysts fear UK retail sales rise may be ‘blip’," Spending up by 1.3% in May
            "
9,weather,"May 15, 2018",German growth starts 2018 at weakest pace in a year," Slowdown in euro area weighs on economy but ECB says it may be temporary
            "
10,weather,"May 9, 2018",Residential property prices rise by 12.7% in year to March," Official figures show property values are increasing by 12.1% in Dublin
            "
11,weather,"May 8, 2018",NI house prices grow by 6.6% year on year in first quarter," Latest quarterly index, however, suggests sales volumes were hit by poor weather
            "
12,weather,"May 4, 2018",US job growth rebounds modestly; unemployment rate falls," Unemployment rate drops to 3.9% from 4.1% as average hourly earnings rise
            "
13,weather,"Apr 30, 2018","GDP to grow and consumer spending to accelerate, Davy forecasts"," Positive forecast sees mortgage lending rising and economy nearing full employment
            "
14,weather,"Apr 29, 2018",Government should focus on growing Dublin and war-gaming next recession," EU economic growth has suddenly halted and Ireland needs to prepare for recession
            "
15,weather,"Apr 6, 2018",US job gains smallest in six months as wage growth picks up," Nonfarm payrolls increased by 103,000 in March as construction and retail sectors shed jobs
            "
16,weather,"Apr 4, 2018",Weaker income tax receipts push Government finances off target," Department insists underlying trend remains positive, while VAT take also swells
            "
17,weather,"Dec 15, 2017",‘Christmas Means Christmas’ and Deutsche Bank’s market triggers," Planet Business: Tourism Ireland takes latest Skellig Michael campaign to new heights
            "
18,weather,"Nov 26, 2017",Just Eat food ordering app set for promotion to FTSE 100," Owners of Alton Towers and Legoland face demotion to FTSE 250
            "
19,weather,"Oct 27, 2017","Brexit ‘McCarthyism’, coffee’s ‘third wave’ and a wine drought?"," Planet Business: Companies beating analysts’ expectations, cities that love Amazon
            "
20,weather,"Oct 6, 2017",US employment falls for the first time in seven years," Hurricanes Harvey and Irma caused temporary unemployment and delayed hiring
            "
21,weather,"Aug 7, 2017",UK consumer spending sees longest decline since 2013: Visa," Another sign that the impact of last year’s Brexit vote is rippling through to households
            "
22,weather,"May 5, 2017",US unemployment at 10-year low as growth bounces back," Data set to keep Federal Reserve on track to raise interest rates in coming months   
            "
23,weather,"May 5, 2017",US employment growth rebounding and wages increasing," Conditions could pave way for the Federal Reserve to raise interest rates next month   
            "
24,weather,"Apr 7, 2017",US jobs growth slows more than expected," Employers added 98,000 jobs last month, far below 180,000 economists had forecast   
            "
25,weather,"Mar 10, 2017",Strong US jobs figures pave way for Fed rate rise," Unemployment rate fell to 4.7%, and wages grew 2.8% from February   
            "
26,weather,"Mar 1, 2017",Ciarán Hancock: Less is more when it comes to motor insurance," High time Government tackled big ticket items that could affect underlying issue   
            "
27,weather,"Feb 10, 2017","Planet Business: Sinkholes, White Musk and the courgette crisis"," This week: Mickey Mouse revenue at Disney, United Airlines boss lets fly   
            "
28,weather,"Jan 17, 2017",Ireland is less innovative than it was last year - Bloomberg index," Ireland drops a place as Nordic nations dominate the top 15 most innovative countires, while South Korea reigns supreme and Russia is dealt a huge blow   
            "
29,weather,"Jan 6, 2017",Bank of England’s  Haldane admits crisis in economic forecasting," Central bank’s chief economist says the vote for Brexit will hit the British economy in 2017   
            "
