Social_ID,Name_Social,Date_Social,Headline_Social,Description_Social
1,Population+growth+rate,"May 24, 2019",Irish economy continues to buck global trends," John FitzGerald: New survey shows employment figures set to grow despite threats
            "
2,Population+growth+rate,"May 23, 2019",The economy and full employment: are we there yet?," Smart Money : Employers are now shouting loudly about skills shortages, pressure on wages and the impact the housing crisis is having
            "
3,Population+growth+rate,"May 21, 2019",Employment reaches record high after stronger than normal first quarter," Numbers in work have ‘never been higher’, says Central Statistics Office
            "
4,Population+growth+rate,"May 3, 2019",US job growth surges and unemployment rate drops to 49-year low," Economy to celebrate 10 years of expansion in July, the longest on record
            "
5,Population+growth+rate,"Feb 1, 2019",John FitzGerald: No-deal Brexit would make Budget 2019 look prescient," Instead of fuelling the boom the Government should be saving for future shocks
            "
6,Population+growth+rate,"Jan 3, 2019",The three big trends which will affect your finances this year," Smart Money: Brexit, world economy wobbles and interest rates are vital signs for 2019
                    "
7,Population+growth+rate,"Nov 20, 2018",Numbers at work in economy hit record of 2.27m," Foreign nationals now account for record 16.2% of those in employment
            "
8,Population+growth+rate,"Nov 13, 2018",UK unemployment ticks up with men worst hit," Record fall in EU nationals working in state
            "
9,Population+growth+rate,"Nov 12, 2018",Ibec predicts slowdown in growth and warns on Brexit," Business lobby group also expresses concern in relation to State’s corporate tax reliance
            "
10,Population+growth+rate,"Oct 25, 2018",Tweeting Taoiseach: was he correct to say we could help the UK out financially?," Smart Money: Leo Varadkar’s tweet raised eyebrows, particularly as we stil owe the UK €4m
                    "
11,Population+growth+rate,"Oct 5, 2018",US unemployment rate hits lowest level since 1969," Average hourly earnings rose 0.3% month-on-month
            "
12,Population+growth+rate,"Oct 2, 2018",Unemployment in Ireland falls to new post-crash low of 5.4%," State’s jobless rate is now three points below the euro zone average
            "
13,Population+growth+rate,"Oct 1, 2018",Euro zone unemployment drops to fresh post-crisis low," Rate of joblessness edges down to 8.1%, its lowest level since November 2008
            "
14,Population+growth+rate,"Sep 28, 2018",The day the banks stood still: counting the cost of the crash a decade later," Key players recall events leading to the bank guarantee – and its aftermath
            "
15,Population+growth+rate,"Aug 31, 2018",Danny McCoy tunes up for Ibec to perform on a bigger stage," CEO wants to expand organisation overseas as business becomes more ‘internationalised’
            "
16,Population+growth+rate,"Aug 28, 2018",Booming economy attracting new influx of foreign nationals," Two-thirds of people coming into State are foreign nationals, CSO figures reveal
            "
17,Population+growth+rate,"Aug 28, 2018",Is Ireland in danger of hitting the wall of full employment?," Not necessarily: there may be a reserve pool of labour to nullify risk of rapid wage inflation
            "
18,Population+growth+rate,"Aug 27, 2018",The ‘Economist’ says Dublin house prices are 25% overvalued," Dublin still more affordable than Vancouver, Paris and London, according to publication
            "
19,Population+growth+rate,"Aug 13, 2018",Turkey’s economic crisis: warning lights are flashing," Cliff Taylor: Investors are looking for a much more robust response than seen to date, fearing the Turkish economy may be heading for a crash
            "
20,Population+growth+rate,"Jul 6, 2018",US job growth strong but unemployment rate rises to 4%," Latest payrolls data points to steady growth and modest inflation pressures
            "
21,Population+growth+rate,"Jun 20, 2018",Employment surpasses pre-crash peak as jobless rate sinks to 5.3%," CSO data shows that statistically all jobs lost during downturn have now been recovered
            "
22,Population+growth+rate,"May 4, 2018",US job growth rebounds modestly; unemployment rate falls," Unemployment rate drops to 3.9% from 4.1% as average hourly earnings rise
            "
23,Population+growth+rate,"Apr 21, 2018","Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
24,Population+growth+rate,"Apr 13, 2018",Tighter focus means National Planning Framework more likely to deliver," Only by understanding the preferences of people and business can public policy influence development
            "
25,Population+growth+rate,"Apr 11, 2018",Brexit: Eurostat starts excluding UK from EU statistics," Agency says move responds to ‘strong demand’ for data leaving out UK
            "
26,Population+growth+rate,"Apr 8, 2018",Sharing wealth is the best antidote to populism," Chris Johns: As a first step to cutting income inequality, let’s make pensions mandatory
            "
27,Population+growth+rate,"Apr 6, 2018",US job gains smallest in six months as wage growth picks up," Nonfarm payrolls increased by 103,000 in March as construction and retail sectors shed jobs
            "
28,Population+growth+rate,"Mar 17, 2018",Give me a crash course in ... Irish economic growth," CSO data shows the economy is booming again – but how reliable are the figures?
            "
29,Population+growth+rate,"Mar 15, 2018",Peak employment isn’t all it’s cracked up to be," CSO statisticians caution about putting too muck stock in peak employment number
            "
30,Population+growth+rate,"Mar 14, 2018","Employment now just 12,000 below all-time peak"," New CSO figures highlights sharp acceleration in employment in 2017
            "
31,Population+growth+rate,"Feb 14, 2018",Residential property prices rise 12.3% in year to December," House prices in Dublin increase 10.8%, while the cost of apartments climbs 14.7%
            "
32,Population+growth+rate,"Jan 19, 2018",Employment growth means we won’t need major tax rises," John FitzGerald: Labour force data points to value of education in getting a job
            "
33,Population+growth+rate,"Jan 16, 2018",Employment expected to surpass pre-crash peak later this year," Total employment in Republic at 2.2 million in third quarter of 2017, CSO figures show
            "
34,Population+growth+rate,"Jan 6, 2018",The Crash – 10 years on: scars remain amid the recovery," The economic bounceback is benefiting many households but the legacy of the crash is still biting
            "
35,Population+growth+rate,"Dec 5, 2017",Have we missed our chance to fix the housing crisis?," Cantillon: Boosting supply of houses would have wider implications for the economy
            "
36,Population+growth+rate,"Nov 14, 2017",Millennials big losers as richest 1% hoard global wealth," Report on world’s money shows number of millionaires up 22%, impacted by Trump and Brexit
            "
37,Population+growth+rate,"Nov 8, 2017",Martin Wolf: Brazil’s crisis presents an opportunity," Its system needs to move from corruption to honesty, opacity to transparency, discretion to predictability, and from looking after the privileged to serving the people.
            "
38,Population+growth+rate,"Nov 5, 2017","Populism, free-trade zealots and the future of western democracy"," Chris Johns on whether the global economic-political order is at an inflection point
            "
39,Population+growth+rate,"Oct 12, 2017",Budget 2018 leads to small losses in income at all levels," ESRI analysis: Budget did not do enough to prepare for wage inflation
            "
40,Population+growth+rate,"Oct 11, 2017",Martin Wolf: The Fed is treading a fine line on monetary tightening," If a big jump in inflation would be destructive, so would excessive tightening
            "
41,Population+growth+rate,"Oct 10, 2017","World economic growth improving, as IMF upgrades Irish forecast"," Economic growth in Britain for 2017 had already been revised lower by IMF to 1.7%
            "
42,Population+growth+rate,"Sep 12, 2017",House price inflation accelerates to 12.3 per cent," Latest CSO numbers show inflation was even more pronounced in Dublin at 12.7 per cent
            "
43,Population+growth+rate,"Sep 1, 2017","US job growth slows in August, wage growth retreats"," Nonfarm payrolls increased by 156,000 last month after rising 189,000 in July
            "
44,Population+growth+rate,"Aug 19, 2017",Macron has big plans for France and Europe," French president wants to turn the euro zone into a more integrated body
            "
45,Population+growth+rate,"Jul 27, 2017",Greece aims to emulate Ireland with a ‘clean’ bailout exit," Even if the prime minister succeeds in his aim, there is no guarantee of political reward
            "
46,Population+growth+rate,"Jul 7, 2017","US job growth accelerates in June, but wages continue to lag"," Some 222,000 jobs were added in US in June as the unemployment rate rose to 4.4%
            "
47,Population+growth+rate,"Jun 18, 2017",How Britain and France’s economies match up," Both France and Britain claim to be world’s fifth largest economy. Who is right?
            "
48,Population+growth+rate,"Jun 10, 2017",Is Ireland in danger of creating another housing bubble?," Expert warnings  and market dysfunction  are fueling concerns about the property market   
            "
49,Population+growth+rate,"Jun 2, 2017",Jobs growth in US slows in May ," Unemployment rate falls to 16-year low as people leave labour force   
            "
50,Population+growth+rate,"May 23, 2017","Nearly 20,000 jobs created in first three months of 2017"," Largest rate of employment increase seen in the information and communications sector   
            "
51,Population+growth+rate,"May 12, 2017",Will Brexit break old patterns of Anglo-Irish migration?," Ireland and Britain have been a common labour market for decades. That may change   
            "
52,Population+growth+rate,"May 10, 2017","Euro zone unemployment higher than figures show, says ECB"," Wage growth has been unexpectedly weak for  bloc on its best economic run in a decade   
            "
53,Population+growth+rate,"May 5, 2017",US unemployment at 10-year low as growth bounces back," Data set to keep Federal Reserve on track to raise interest rates in coming months   
            "
54,Population+growth+rate,"May 5, 2017",US employment growth rebounding and wages increasing," Conditions could pave way for the Federal Reserve to raise interest rates next month   
            "
55,Population+growth+rate,"Apr 14, 2017",Irish and Spanish recoveries  took rather different routes ," While Madrid’s banks were sound, its economy was hampered by high unemployment    
            "
56,Population+growth+rate,"Apr 4, 2017",Unemployment falls to 6.4% as labour market  improves," Latest figures show State’s jobless rate is three points below euro-area average    
            "
57,Population+growth+rate,"Mar 31, 2017",Brexit: 50 things Ireland needs to know," Europe’s priorities  in secession talks are set out – but  what will it mean for Irish business?   
            "
58,Population+growth+rate,"Mar 14, 2017",Home ownership in Dublin falls to record low," Central Statistics Office  figures show one in four residents of the  capital are now renters    
            "
59,Population+growth+rate,"Mar 10, 2017",Strong US jobs figures pave way for Fed rate rise," Unemployment rate fell to 4.7%, and wages grew 2.8% from February   
            "
60,Population+growth+rate,"Mar 1, 2017",Martin Wolf: India’s destiny is in its own hands,"  India  has  some major obstacles to overcome  to become  global economic power   
            "
61,Population+growth+rate,"Jan 16, 2017",Leitrim: a county where  one in four houses lie empty," Once a hotspot for holiday homes and section 23 properties, Leitrim county now has lowest occupancy rate in the State at  70%   
            "
62,Population+growth+rate,"Jan 6, 2017",US job growth slows as wages rebound strongly," Figures point to rising inflationary pressure as president-elect Trump prepartes to enter White House   
            "
63,Population+growth+rate,"Dec 2, 2016",US jobless rate falls to lowest level in nine years," Fed  rate rise  in December now almost certain as unemployment rate drops to 4.6%   
            "
