ISEQ_ID,Date_ISEQ,Price_ISEQ,Open_ISEQ,High_ISEQ,Low_ISEQ,Vol_Mil_ISEQ,ChangePercent_ISEQ
1,"Aug 30, 2019",5879.42,5846.54,5910.03,5846.54,26.37,0.55
2,"Aug 29, 2019",5847.1,5754.21,5857.72,5748.84,24.3,1.55
3,"Aug 28, 2019",5757.58,5831.34,5831.34,5735.47,30.6,-1.26
4,"Aug 27, 2019",5831.34,5744.73,5831.34,5709.75,32.58,1.53
5,"Aug 26, 2019",5743.34,5750.06,5786.97,5716.39,8.93,-0.11
6,"Aug 23, 2019",5749.46,5770.87,5851.11,5739.23,36.17,-0.33
7,"Aug 22, 2019",5768.33,5796.27,5804.41,5753.65,32.16,-0.46
8,"Aug 21, 2019",5795.22,5694.49,5798.71,5694.49,46.49,1.79
9,"Aug 20, 2019",5693.38,5814.46,5818.15,5693.38,27.74,-2.07
10,"Aug 19, 2019",5813.52,5773.45,5844.87,5773.45,28.31,0.70
11,"Aug 16, 2019",5773.27,5697.77,5782.06,5697.77,42.55,1.33
12,"Aug 15, 2019",5697.77,5750.16,5792.34,5659.28,39.49,-0.88
13,"Aug 14, 2019",5748.13,5851.28,5863,5736.22,120.55,-1.76
14,"Aug 13, 2019",5851.08,5843.19,5902.03,5772.87,33.05,0.15
15,"Aug 12, 2019",5842.32,5872.42,5921.18,5829.55,17.47,-0.34
16,"Aug 09, 2019",5862.29,5944.01,5944.01,5860.29,29.41,-1.37
17,"Aug 08, 2019",5943.65,5843.15,5943.84,5843.15,19.59,2.19
18,"Aug 07, 2019",5816.16,5784.25,5843.5,5779.45,29.79,0.60
19,"Aug 06, 2019",5781.64,5809.55,5840.34,5781.64,27.69,-0.48
20,"Aug 05, 2019",5809.55,5974.52,5974.52,5809.55,19.83,-2.82
21,"Aug 02, 2019",5978.15,6076.92,6076.92,5960.95,40.33,-1.60
22,"Aug 01, 2019",6075.25,6112.2,6125.99,6044.66,75.53,-0.59
23,"Jul 31, 2019",6111.13,6130.35,6154.61,6102.04,76.79,-0.29
24,"Jul 30, 2019",6129.11,6269.91,6269.91,6117.17,31.96,-2.21
25,"Jul 29, 2019",6267.59,6314.63,6321.17,6267.38,32.42,-0.90
26,"Jul 26, 2019",6324.29,6356.12,6356.12,6306.44,19.27,-0.50
27,"Jul 25, 2019",6356.07,6332.58,6379.04,6307.19,24.46,0.36
28,"Jul 24, 2019",6333.29,6322.12,6338.04,6301.77,42.11,0.16
29,"Jul 23, 2019",6322.9,6296.65,6330.08,6288.14,25.61,0.61
30,"Jul 22, 2019",6284.85,6262.39,6332.57,6258.52,12.41,0.28
31,"Jul 19, 2019",6267.36,6276.96,6304.52,6253.41,34.6,-0.15
32,"Jul 18, 2019",6277.07,6309.12,6309.12,6255.72,26.54,-0.58
33,"Jul 17, 2019",6313.43,6380.58,6385.13,6307.06,16.97,-1.05
34,"Jul 16, 2019",6380.36,6322.71,6380.36,6307.76,23.27,0.92
35,"Jul 15, 2019",6322.06,6295.82,6346.86,6291.78,15.21,0.43
36,"Jul 12, 2019",6295.11,6276.81,6315.38,6276.81,27.54,0.30
37,"Jul 11, 2019",6276.12,6240.06,6284.49,6235.44,65.7,0.66
38,"Jul 10, 2019",6235.05,6266.72,6284.18,6234.84,25.17,-0.50
39,"Jul 09, 2019",6266.24,6314.25,6317.92,6237.78,19.97,-0.79
40,"Jul 08, 2019",6315.83,6337.46,6339.89,6265.84,13.15,-0.36
41,"Jul 05, 2019",6338.46,6415.39,6419.47,6335.69,18.47,-1.20
42,"Jul 04, 2019",6415.6,6361.59,6415.6,6345.77,20.12,1.08
43,"Jul 03, 2019",6347.28,6232.95,6359.82,6215.88,28.55,1.85
44,"Jul 02, 2019",6232.27,6248.56,6262.38,6195.49,19.32,0.03
45,"Jul 01, 2019",6230.26,6155.24,6253.65,6155.24,24.9,1.26
46,"Jun 28, 2019",6152.63,6107.76,6152.63,6097.28,23.45,0.74
47,"Jun 27, 2019",6107.37,6131.05,6171.24,6091.46,21.84,-0.34
48,"Jun 26, 2019",6128.16,6108.53,6131.69,6087.92,35.26,0.33
49,"Jun 25, 2019",6107.98,6068.66,6110.77,6041.94,31.98,0.65
50,"Jun 24, 2019",6068.66,6131.75,6138.74,6065.5,26.56,-1.05
51,"Jun 21, 2019",6133.2,6200.92,6230.49,6124.7,42.79,-1.12
52,"Jun 20, 2019",6202.7,6165.66,6228.73,6165.66,21,0.62
53,"Jun 19, 2019",6164.59,6166.72,6184.43,6134.27,27.64,0.04
54,"Jun 18, 2019",6162.41,6120.59,6169.31,6080.03,21.77,0.68
55,"Jun 17, 2019",6120.59,6152.35,6169.66,6101.23,18.53,-0.55
56,"Jun 14, 2019",6154.53,6188.46,6191.15,6127.45,22.71,-0.62
57,"Jun 13, 2019",6192.63,6131.43,6208.31,6122.32,16.82,1.00
58,"Jun 12, 2019",6131.58,6210.61,6210.61,6122.81,22.02,-1.46
59,"Jun 11, 2019",6222.45,6199.83,6252.22,6193.22,18.93,0.34
60,"Jun 10, 2019",6201.08,6192.11,6213.42,6172.54,10.31,0.37
61,"Jun 07, 2019",6178.39,6129.35,6192.29,6129.35,17.42,0.84
62,"Jun 06, 2019",6127.19,6180.6,6209.28,6121.18,20.22,-0.85
63,"Jun 05, 2019",6179.93,6158.95,6207.42,6133.8,19.21,0.36
64,"Jun 04, 2019",6157.51,6082.24,6167.93,6068.64,18.73,1.22
65,"Jun 03, 2019",6083.04,6078.59,6100.98,6039.32,13.82,0.06
66,"May 31, 2019",6079.63,6122.36,6122.36,6042.26,26.11,-0.81
67,"May 30, 2019",6129.32,6052.78,6130.55,6049.59,18.41,1.27
68,"May 29, 2019",6052.44,6150.05,6150.05,6040.47,19.48,-1.63
69,"May 28, 2019",6152.63,6114.53,6152.63,6105.26,52.15,0.62
70,"May 27, 2019",6114.78,6126.84,6185.36,6107.17,7.75,-0.15
71,"May 24, 2019",6123.83,6155,6189.38,6123.83,29.25,-0.47
