News_ID,CompanyName_News,Date_News,Headline_News,Description_News
1,ABBEY,"Fri, May 3, 2019, 01:00",O’Connell Street and Moore Street set for renewal,UK property developer Hammerson advances proposals to tackle decades of neglect
2,ABBEY,"Fri, Apr 26, 2019, 17:24",People looking to come home to Ireland cannot afford Dublin,Sherry FitzGerald London Property Show demonstrates the ‘revival’ of regional Ireland
3,ABBEY,"Fri, Apr 12, 2019, 06:00",Notre Dame’s En Plein Air returns to Kylemore Abbey after inaugural success,"The second year of En Plein Air is from May 26th to June 5th, as well as the new Live Drawing Salon from June 6th to 9th"
4,ABBEY,"Sat, Mar 23, 2019, 22:00","Crosaire No 16908 by Crossheir – Saturday, March 23rd, 2019",Blog explanations available at 10pm on the day of publication
5,ABBEY,"Sat, Mar 16, 2019, 06:00",In the footsteps of St Patrick: A 10-walk tour of Ireland," From Slemish to Downpatrick via Slane, Cashel, Croagh Patrick and Lough Derg"
6,ABBEY,"Sun, Feb 24, 2019, 17:00",Has my Abbey Life policy developed Phoenix syndrome?, Q&A: Dominic Coyle answers your personal finance questions
7,ABBEY,"Sat, Feb 9, 2019, 22:00","Crosaire No 16872 by Crossheir – Saturday, February 9th, 2019"," Blog explanations available at 10pm on the day of publication
"
8,ABBEY,"Sat, Feb 9, 2019, 00:00",What a heavenly home: from dilapidated church to chic retreat,"Landscape designer Des Kingston and his wife have poured their collective talents into this Co Limerick church with spectacular results 
"
9,ABBEY,"Sat, Feb 9, 2019, 00:00",Top tips for making the ultimate compost," Known as ‘gardener’s gold’, kitchen waste and even human hair can be transformed in to a rich mulch in a matter of weeks
"
10,ABBEY,"Fri, Feb 1, 2019, 06:15",Iseq companies’ pension deficit widens to €1.6bn amid stock market slump," New figures show investors are fretting about economic growth and trade tensions
"
11,ABBEY,"Wed, Jan 23, 2019, 22:00","Crosaire No 16857 by Crossheir – Wednesday, January 23rd, 2019"," Blog explanations available at 10pm on the day of publication
"
12,ABBEY,"Wed, Jan 23, 2019, 06:00",DWS plans €70m Staycity aparthotel on Tivoli Theatre site," Deal will bring Staycity group’s count of purpose-built suites to almost 1,000
"
13,ABBEY,"Thu, Jan 17, 2019, 09:57",Professional rider Mason Lowe dies after bull steps on his chest," Missouri native (25) ranked 18th in the world thrown and injured at Denver event
"
14,ABBEY,"Sat, Jan 12, 2019, 05:00",Theatre this week: Young woman fights to be herself and Philip Ridley’s new work at the Abbey," Kate Stanley Brennan revives her solo show while Theatre Upstairs brings its pitch-dark sensibilities to the stage
"
15,ABBEY,"Tue, Jan 8, 2019, 05:45","Listed Irish property groups due to deliver 2,000 new homes this year"," Four listed firms likely to build and sell properties with aggregate value of about €700m
"
16,ABBEY,"Sat, Dec 15, 2018, 00:00",Sixteen great books for gardeners this Christmas," This year’s fine crop tackles everything from wartime gardens to a guide to propagation
"
17,ABBEY,"Sat, Dec 8, 2018, 05:00",A piping hot 2018 for trad," Year in Culture Review: Great albums, the rise of women and the loss of visionaries
"
18,ABBEY,"Sat, Dec 1, 2018, 00:00",Giving to a gardener? Here's 35 great gifts for Christmas," Trees to plant, gloves to wear, cards to write trowels to dig, seeds to sow and a pad to rest
"
19,ABBEY,"Tue, Nov 20, 2018, 14:50",Eugene McCabe: 'The remnants of the IRA will try to revive the murder and mayhem'," As his ‘Death and Nightingales’ comes to our screens, the author talks to Adrienne Leavy
"
20,ABBEY,"Thu, Oct 18, 2018, 06:00",What do Ireland’s biggest builders and landlords earn?," Incomes buoyant for heads of new breed of institutional landlords and housebuilders
"
21,ABBEY,"Mon, Oct 8, 2018, 22:00","Crosaire No 16768 by Crossheir – Monday, October 8th, 2018"," Blog explanations available at 10pm on the day of publication
"
22,ABBEY,"Sat, Oct 6, 2018, 05:00",Kylie Minogue: The perfect Princess of Pop with 31 years of music," Our New VBF: It’s near impossible to pick her best era
"
23,ABBEY,"Fri, Oct 5, 2018, 08:50",Bright sparks and electrical cures to revive the sluggish functions," Early medical devices promised curative therapies to ‘reanimate torpid limbs’
"
24,ABBEY,"Mon, Sep 10, 2018, 00:01",Frank Plunkett Dillon: solicitor and trusted adviser to leading business figures," An Appreciation
"
25,ABBEY,"Wed, Aug 1, 2018, 14:00",Papal paraphernalia ‘selling like hotcakes’ as retailers cash in on Pope’s visit," T-shirts, rosary beads, mugs and umbrellas all emblazoned with image of Pope Francis
"
26,ABBEY,"Mon, Jul 23, 2018, 18:18",Ryanair weighs on Iseq as trade tensions drag European stocks down," In Dublin housebuilders Cairn Homes, Glenveagh Properties, and Abbey close down
"
27,ABBEY,"Sun, Jul 8, 2018, 18:00","Business this week: results, indicators and meetings"," ESRI conference on budget perspectives and Norwegian Air reporting second-quarter results
"
28,ABBEY,"Fri, Jul 6, 2018, 06:10",Rob Brydon: ‘I don’t mind being the butt of the joke’," ‘Swimming with Men’ gave Brydon a chance to learn the art of synchronised swimming
"
29,ABBEY,"Sat, Jun 30, 2018, 06:00",Seven mighty Irish meat restaurants," From The Irish Times’s 2018 guide to the 100 best foodie destinations across Ireland
"
30,ABBEY,"Fri, Jun 1, 2018, 08:39",Housebuilder Abbey almost doubles Irish house sales," Turnover ‘similar to last year’, when it amounted to €216.5m, trading update shows
"
31,ABBEY,"Fri, Jun 1, 2018, 06:00","The 100 best restaurants, cafes and places to eat in Ireland 2018"," The Irish Times’s guide to the best foodie destinations across Ireland
"
32,ABBEY,"Sat, May 26, 2018, 06:00",Seven wonders of Ireland’s historical world," While we’re all familiar with high-profile places like Glendalough and Newgrange, there are 750 less well-known heritage sites around Ireland, all worth a visit. Here’s a taster of just a few of them
"
33,ABBEY,"Sat, Mar 24, 2018, 06:00",The new good Friday: ‘I’ll lament its passing’," People who run off-licences, pubs and other businesses on how 2018 will be different
"
