Legal_ID,Name_Legal,Date_Legal,Headline_Legal,Description_Legal,Historical_ID
1,discrimination+laws,"Mon, Oct 3, 2016, 18:26",Business groups reiterate need for ‘Brexit-proof’ budget," Fears of a hardline Brexit as sterling hits three-year low against the euro   
            ",
2,antitrust+laws,"Tue, Jan 12, 2016, 14:32",Italian groups seek EU antitrust probe into McDonald’s," EU already looking into McDonald’s tax deal with Luxembourg   
            ",
3,antitrust+laws,"Tue, Jul 14, 2015, 07:56",Ireland’s sweetheart tax deals under threat as EU investigates," European Commission to  issue decisions on four test cases, including  Apple in Ireland,    
            ",
4,antitrust+laws,"Sun, Sep 15, 2019, 12:33",Chris Johns: Tech monopolies are getting away with financial murder," Piketty’s call for more aggressive redistribution may finally be answered by politicians
            ",
5,antitrust+laws,"Tue, Jan 12, 2016, 14:32",Italian groups seek EU antitrust probe into McDonald’s," EU already looking into McDonald’s tax deal with Luxembourg   
            ",
6,antitrust+laws,"Tue, Jul 14, 2015, 07:56",Ireland’s sweetheart tax deals under threat as EU investigates," European Commission to  issue decisions on four test cases, including  Apple in Ireland,    
            ",
7,antitrust+laws,"Sun, Sep 15, 2019, 12:33",Chris Johns: Tech monopolies are getting away with financial murder," Piketty’s call for more aggressive redistribution may finally be answered by politicians
            ",
8,antitrust+laws,"Tue, Jan 12, 2016, 14:32",Italian groups seek EU antitrust probe into McDonald’s," EU already looking into McDonald’s tax deal with Luxembourg   
            ",
9,antitrust+laws,"Tue, Jul 14, 2015, 07:56",Ireland’s sweetheart tax deals under threat as EU investigates," European Commission to  issue decisions on four test cases, including  Apple in Ireland,    
            ",
10,antitrust+laws,"Sun, Sep 15, 2019, 12:33",Chris Johns: Tech monopolies are getting away with financial murder," Piketty’s call for more aggressive redistribution may finally be answered by politicians
            ",
11,antitrust+laws,"Tue, Jan 12, 2016, 14:32",Italian groups seek EU antitrust probe into McDonald’s," EU already looking into McDonald’s tax deal with Luxembourg   
            ",
12,antitrust+laws,"Tue, Jul 14, 2015, 07:56",Ireland’s sweetheart tax deals under threat as EU investigates," European Commission to  issue decisions on four test cases, including  Apple in Ireland,    
            ",
