Political_ID,Name_Political,Date_Political,Headline_Political,Description_Political
1,government+policy,"Mon, Sep 23, 2019, 11:17",‘No-deal Brexit irresponsible because of lack of a strategy it reflects’," The EU will never abandon the level playing field on regulatory competition
            "
2,government+policy,"Fri, Sep 13, 2019, 17:09",Draghi has done his bit – now it’s over to Germany to save the euro," Market Beat: The outgoing ECB president has long been calling on governments to start spending
            "
3,government+policy,"Fri, Sep 13, 2019, 11:40",Explainer: Apple’s €13bn tax appeal has huge implications," Case is of massive significance for Ireland and for the policing of state aid by the European Commission
            "
4,government+policy,"Fri, Sep 13, 2019, 05:44",What would a no-deal Brexit mean for the biggest sectors of the Irish economy?," A comprehensive guide to the massive impact likely if the UK crashes out of the EU
            "
5,government+policy,"Sat, Sep 7, 2019, 05:27",Will there be a price to be paid by Ireland for the backstop?," German industry boss hints at inevitable move towards tax harmony in Europe
            "
6,government+policy,"Fri, Sep 6, 2019, 17:10",German business ‘unwavering’ in support for Brexit backstop," Germany’s top business lobby says industry remains fully behind Ireland’s stance
            "
7,government+policy,"Fri, Sep 6, 2019, 15:12","US economy creates a modest 130,000 jobs in August"," Unemployment rate holds steady at 3.7% and average earnings growth slows
            "
8,government+policy,"Fri, Sep 6, 2019, 05:24",Northern Ireland’s economy is threatened by more than Brexit," John FitzGerald: The North faces decades of inertia unless there is urgent reform
            "
9,government+policy,"Fri, Sep 6, 2019, 05:19",No-deal Brexit capable of derailing economy and reigniting Troubles," Ireland, more than any other EU state, is at the mercy of events way beyond its control
            "
10,government+policy,"Wed, Sep 4, 2019, 17:11",Bank of England scales back estimate for worst-case Brexit hit to UK economy," Mark Carney now foresees 5.5% shrinkage in a no-deal scenario
            "
11,government+policy,"Mon, Sep 2, 2019, 06:58",UK’s Labour would cost companies £300bn by shifting shares to staff," FT analysis shows potential scale of seizure, while landlords face ‘right to buy’ plan
            "
12,government+policy,"Fri, Aug 30, 2019, 13:37","Argentina is in default, says Standard & Poor’s"," Restructuring plan amounts to the ninth time that the country has reneged on its debt
            "
13,government+policy,"Fri, Aug 30, 2019, 06:00",Are Ireland's falling employment figures a harbinger of recession?," Data surrounding Irish economy remains positive, but recession clouds are looming
            "
14,government+policy,"Wed, Aug 28, 2019, 12:48","No-deal Brexit will have ‘severe impact’ on Irish economy, Central Bank says"," Acting governor Sharon Donnery warns of need for fiscal prudence in face of growing risks
            "
15,government+policy,"Sun, Aug 25, 2019, 18:17",Bundesbank chief Jens Weidmann opposes new stimulus," No time to ‘panic’ despite German economy heading for its first recession in six years
            "
16,government+policy,"Tue, Aug 20, 2019, 20:35",Argentine peso gains after central bank sells dollar reserves," New treasury minister aims to stick to goal of erasing primary fiscal deficit
            "
17,government+policy,"Mon, Aug 19, 2019, 14:42",Bundesbank says Germany could tip into recession," Country experiencing sharp drop in exports and decline in production
            "
18,government+policy,"Fri, Aug 16, 2019, 04:45","Degrowth fetishists, just be honest: you would make people poorer to fight climate change"," It is a fact that if people do less and use less, then GDP will fall
            "
19,government+policy,"Wed, Aug 14, 2019, 19:59",Sweden sells 10-year debt with negative yield for first time," Issuance of bonds with sub-zero yields puts country in club with Germany and Japan
            "
20,government+policy,"Wed, Aug 14, 2019, 07:36",German economy contracts as export engine stutters," Domestic demand contributed positively as foreign trade slowed
            "
21,government+policy,"Thu, Aug 8, 2019, 11:18",Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
22,government+policy,"Thu, Aug 8, 2019, 08:38",US yield curve sends strongest recession warning since 2007," Bond market indicator worsens as questions swirl about Federal Reserve’s next move
            "
23,government+policy,"Wed, Aug 7, 2019, 05:05",We could be on the brink of economic war between the US and China," Nervous markets watch as new aggression replaces old rules of interdependence
            "
24,government+policy,"Mon, Aug 5, 2019, 11:30",Renminbi falls past Rmb7 per dollar for first time in 11 years," China’s central bank blames tariffs for move as Asian currencies and markets weaken
            "
25,government+policy,"Wed, Jul 31, 2019, 05:27",Central Bank says hard Brexit not priced into sterling even after slump," Recession would be averted but slowdown a likely ‘significant shock’ for the economy
            "
26,government+policy,"Mon, Jul 29, 2019, 04:35","Cliff Taylor: As a first-time buyer, should you be allowed to borrow more?"," We need to concentrate on affordable homes, not unaffordable loans
                    "
27,government+policy,"Fri, Jul 26, 2019, 16:38",Lower ECB rates leave Irish taxpayers stuck with our banks," Euro-zone economy remains in malaise as Draghi enters twilight of his tenure
            "
28,government+policy,"Thu, Jul 25, 2019, 15:55",Farmers could boost their incomes by switching from beef," John FitzGerald: The economics of beef are on a knife edge – changing makes sense
            "
29,government+policy,"Thu, Jul 25, 2019, 13:00",What do the new mortgage figures tell us about the property market?," Smart Money: With house prices and construction stalling, what’s going on?
                    "
30,government+policy,"Mon, Jul 22, 2019, 12:43",Central Bank joins warnings over Government spending plans," Sharon Donnery cautions against using corporation tax windfall for current expenditure
            "
31,government+policy,"Sun, Jul 21, 2019, 13:18",Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
32,government+policy,"Fri, Jul 19, 2019, 03:15",Christine Lagarde must learn to run an economy that is slowing to a crawl," Lagarde’s most perilous moments will come when she cannot rely on a prepared text, like news conferences after ECB policy meetings
            "
33,government+policy,"Thu, Jul 18, 2019, 12:59", Tax strategy papers: the key highlights," Income tax; changes to USC and PRSI and levies on carbon usage, motoring and food supplements all feature
            "
34,government+policy,"Wed, Jul 17, 2019, 20:43",Reit dividends increase tenfold in four years," Four listed trusts paid €93.49 million in dividends last year
            "
35,government+policy,"Wed, Jul 17, 2019, 17:54","€50,000 threshold for higher rate tax will cost €2.3bn"," Number of workers paying higher rate tax has more than doubled since 2010
            "
36,government+policy,"Sun, Jul 14, 2019, 12:32","UK at highest risk of recession since 2007, says think-tank"," UK at highest risk of recession since 2007, says think-tank
            "
